Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
QIFDLE,1/19/2021,1,OS,Intra Country,1,1/19/2021,2,"1,005",$0.40 ,402.66
QIFDLE,1/20/2021,1,RS,Intra Country,2,1/19/2021,1,"2,010",$0.18 ,358.85
TCQSWQ,2/2/2021,1,RS,Intra Country,1,2/1/2021,5,"1,712",$0.32 ,547.57
XVLNTI,2/2/2021,1,RS,Intra Country,1,2/1/2021,5,"1,712",$0.32 ,547.57
WUOSEW,2/2/2021,1,RS,Intra Country,2,2/1/2021,4,"1,712",$0.34 ,574.94
WUOSEW,2/5/2021,1,RS,Intra Country,2,2/1/2021,4,"1,712",$0.09 ,161.28
MMTKTT,2/16/2021,1,RS,Intra Country,2,2/15/2021,2,550,$0.68 ,376.89
GTTIBC,2/17/2021,1,RS,Intra Country,3,2/16/2021,16,931,$0.24 ,218.9
GFCEUQ,2/18/2021,1,OS,Intra Country,1,2/17/2021,17,723,$0.24 ,172.34
GFCEUQ,2/18/2021,1,OS,Intra Country,1,2/17/2021,13,723,$0.22 ,156.65
ILGRUG,2/19/2021,1,OS,Intra Country,1,2/18/2021,4,423,$0.83 ,350.65
HQOUPY,2/19/2021,1,RS,Intra Country,3,2/18/2021,14,"4,075",$0.27 ,1088.42
QQOPVT,2/19/2021,1,OS,Intra Country,1,2/18/2021,6,423,$0.45 ,192.12
TDPTOY,2/23/2021,1,OS,Intra Country,1,2/22/2021,10,723,$0.22 ,159.63
TDPTOY,2/23/2021,1,RS,Intra Country,3,2/22/2021,10,"1,446",$0.09 ,131.31
ADTZGT,2/24/2021,1,RS,Intra Country,2,2/23/2021,10,931,$0.32 ,297.2
GOJWME,3/4/2021,1,RS,Intra Country,2,3/3/2021,7,649,$0.74 ,480.32
LXYBFG,3/10/2021,1,RS,Intra Country,3,3/9/2021,1,931,$0.31 ,288.9
VBGCVU,3/12/2021,1,RS,Intra Country,1,3/11/2021,8,931,$0.34 ,313.53
JWCKSM,3/12/2021,1,RS,Intra Country,5,3/11/2021,4,846,$0.40 ,342.37
HOBWMS,3/17/2021,1,RS,Intra Country,1,3/17/2021,7,931,$0.31 ,290.23
JUWSBH,3/22/2021,1,RS,Intra Country,1,3/21/2021,5,584,$1.13 ,657.35
BTKEPS,3/22/2021,1,RS,Intra Country,2,3/21/2021,5,931,$0.34 ,312.44
VOGCIT,3/22/2021,1,RS,Intra Country,2,3/21/2021,5,931,$0.34 ,312.44
LOXJNX,3/22/2021,1,RS,Intra Country,1,3/21/2021,10,878,$0.60 ,526.08
BTKEPS,3/22/2021,0,RS,Intra Country,2,3/21/2021,5,931, $-   ,0
VOGCIT,3/22/2021,0,RS,Intra Country,2,3/21/2021,5,931, $-   ,0
ZIGPJZ,3/23/2021,1,RS,Intra Country,1,3/22/2021,9,461,$1.35 ,620.94
QSVRWO,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.41 ,189.56
QSVRWO,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.63 ,465.89
AWYHNP,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.74 ,543.48
AWYHNP,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.37 ,174.21
AQMIZP,3/23/2021,1,OM,Intra Country,2,3/23/2021,3,739,$0.74 ,543.48
AQMIZP,3/23/2021,1,OS,Intra Country,1,3/23/2021,4,465,$0.37 ,174.21
CINMEK,3/24/2021,1,RS,Intra Country,4,3/24/2021,4,931,$0.51 ,473.74
QDJEJP,3/28/2021,1,RS,Intra Country,5,3/27/2021,1,878,$0.86 ,757.77
LBSCOL,3/28/2021,1,RS,Intra Country,4,3/28/2021,1,931,$0.51 ,475.63
UMYZUC,3/30/2021,1,RS,Intra Country,4,3/29/2021,35,"3,262",$0.23 ,759.96
XLDZUP,3/31/2021,1,RS,Intra Country,5,3/30/2021,6,878,$0.80 ,701.81
XPFJRH,3/31/2021,1,RS,Intra Country,6,3/30/2021,12,878,$0.71 ,620.23
YUEEAF,3/31/2021,1,RS,Intra Country,2,3/30/2021,33,"1,567",$0.52 ,811.18
CQLJLU,4/1/2021,1,RS,Intra Country,3,3/31/2021,5,"3,392",$0.31 ,1062.68
XCHQJY,4/8/2021,1,RS,Intra Country,1,4/7/2021,6,878,$0.59 ,519.45
ZMDZRK,4/8/2021,1,OS,Intra Country,1,4/8/2021,11,292,$1.08 ,315.54
ZMDZRK,4/8/2021,1,OS,Intra Country,1,4/8/2021,11,292,$0.77 ,226.22
BRNJXU,4/9/2021,1,RS,Intra Country,6,4/8/2021,10,878,$0.16 ,137.19
QYJRPK,4/9/2021,1,RS,Intra Country,3,4/8/2021,5,"1,611",$0.09 ,150.99
QYJRPK,4/9/2021,1,OS,Intra Country,1,4/8/2021,7,820,$0.51 ,417.11
EAQLUI,4/11/2021,1,OS,Intra Country,1,4/10/2021,3,790,$0.28 ,218.71
HAMZUF,4/12/2021,1,RS,Intra Country,1,4/11/2021,8,878,$0.59 ,518.13
JHJFZH,4/12/2021,1,RS,Intra Country,3,4/11/2021,16,"1,654",$0.19 ,309.3
ZMDZRK,4/13/2021,1,RS,Intra Country,1,4/8/2021,11,584,$0.54 ,314.88
SDGIAG,4/18/2021,1,OS,Intra Country,1,4/16/2021,6,238,$0.54 ,128.27
SDGIAG,4/18/2021,1,OM,Intra Country,3,4/16/2021,7,"1,115",$0.77 ,856.23
CPUJJA,4/18/2021,1,RS,Intra Country,1,4/17/2021,7,"1,712",$0.33 ,562.66
DJUBBL,4/18/2021,1,RS,Intra Country,2,4/18/2021,1,878,$0.39 ,343.65
QYPLOS,4/19/2021,1,OS,Intra Country,1,4/19/2021,4,397,$0.48 ,191.01
XBGQRI,4/19/2021,1,OS,Intra Country,1,4/19/2021,3,238,$1.32 ,314.85
IKVSQV,4/19/2021,1,RS,Intra Country,2,4/19/2021,4,772,$0.62 ,481.67
TUBVPU,4/20/2021,1,RS,Intra Country,3,4/19/2021,8,"1,723",$0.34 ,577.31
KTBQAC,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
KTBQAC,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
UJPONO,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
UJPONO,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
KUBBCW,4/20/2021,1,OS,Intra Country,1,4/20/2021,3,397,$0.58 ,230.93
KUBBCW,4/20/2021,1,OS,Intra Country,1,4/20/2021,4,397,$0.24 ,96.66
EESDGK,4/28/2021,1,RS,Intra Country,2,4/27/2021,10,"2,010",$0.20 ,398.39
KSNNBO,4/28/2021,1,RS,Intra Country,2,4/27/2021,10,"2,010",$0.20 ,398.39
HEFHMD,5/5/2021,1,RS,Intra Country,1,5/4/2021,49,455,$0.61 ,276.92
YAKGSU,5/18/2021,1,RS,Intra Country,4,5/17/2021,6,"1,038",$0.62 ,640.21
HUWXDM,5/25/2021,1,RS,Intra Country,2,5/24/2021,10,878,$0.63 ,556.97
UVGCSW,5/25/2021,1,OS,Intra Country,1,5/24/2021,11,423,$0.26 ,111.72
UVGCSW,5/25/2021,1,OS,Intra Country,1,5/24/2021,11,423,$0.32 ,135.04
RWYGLT,5/27/2021,1,OS,Intra Country,1,5/26/2021,9,723,$0.22 ,155.67
RWYGLT,5/27/2021,1,OS,Intra Country,1,5/26/2021,10,723,$0.17 ,122.48
MXVEZQ,5/28/2021,1,RS,Intra Country,2,5/27/2021,5,931,$0.33 ,310.84
MBIJEQ,5/28/2021,1,RS,Intra Country,2,5/27/2021,7,"1,446",$0.37 ,538.22
VVSNRH,5/28/2021,1,OS,Intra Country,1,5/28/2021,6,723,$0.25 ,182.32
MXVEZQ,5/28/2021,0,RS,Intra Country,2,5/27/2021,5,931,$0.03 ,26.7
CYXHUN,5/28/2021,1,RS,Intra Country,1,5/28/2021,8,878,$0.81 ,710.64
CYFIKH,5/28/2021,1,RS,Intra Country,1,5/28/2021,8,878,$0.81 ,710.64
QUXVUS,4/7/2021,1,RS,Intra Country,4,4/7/2021,92,"1,342",$0.27 ,364.29
KJHTXX,4/7/2021,1,OS,Intra Country,1,4/7/2021,94,270,$0.31 ,84.82
QBKWJY,4/7/2021,1,RS,Intra Country,4,4/7/2021,92,"1,342",$0.27 ,364.29
SFMDDH,4/12/2021,1,RS,Intra Country,2,4/12/2021,22,713,$0.40 ,288.73
HYIEAM,4/13/2021,1,RS,Intra Country,3,4/13/2021,86,899,$0.35 ,313.63
QBKWJY,4/16/2021,0,RS,Intra Country,4,4/7/2021,92,"1,342", $-   ,0
MYAEDA,4/19/2021,1,RS,Intra Country,3,4/19/2021,80,927,$0.21 ,198.49
DOYQDA,5/21/2021,1,RS,Intra Continental,3,5/21/2021,14,"2,688",$0.31 ,842.08
RGMUZX,5/21/2021,1,RS,Intra Continental,3,5/21/2021,14,"2,688",$0.31 ,842.08
LEFDDV,5/31/2021,1,RS,Intra Country,3,5/31/2021,38,"1,025",$0.44 ,450.2
KSOVKR,1/22/2021,0,OS,Intra Continental,-1,1/23/2020,-61,-348,$0.42 ,146.25
JNRVMC,1/28/2021,0,RS,Intra Continental,-2,1/24/2020,-59,-416,$0.94 ,391.97
TAPCWC,1/28/2021,0,RS,Intra Continental,-2,1/29/2020,-54,-472,$0.65 ,305.59
HNLFBJ,1/28/2021,0,RS,Intra Continental,-2,1/29/2020,-54,-719,$0.38 ,276.07
KSOVKR,1/30/2021,1,OS,Intra Continental,1,1/23/2020,61,348,$0.42 ,146.25
KSOVKR,1/30/2021,0,OS,Intra Continental,-1,1/23/2020,-61,-348,$0.42 ,146.25
QNYOHE,2/3/2021,0,RS,Intra Continental,-2,2/4/2020,-48,-841,$0.38 ,318.43
XSLDIW,4/22/2021,1,OS,Intra Continental,1,4/22/2021,5,693,$0.44 ,304.33
XSLDIW,4/22/2021,1,OS,Intra Continental,1,4/22/2021,6,575,$0.73 ,417.66
XEFRJG,4/29/2021,1,RS,Intra Continental,2,4/28/2021,5,572,$1.41 ,809.01
KAIAAA,4/29/2021,1,RS,Intra Continental,2,4/28/2021,5,572,$1.41 ,809.01
QRWEGH,1/15/2021,0,RS,Intra Continental,-3,2/10/2020,-48,"-1,312",$0.23 ,304.8
DXUJVC,4/13/2021,1,RS,Intra Continental,3,4/9/2021,5,"1,544",$0.18 ,279.47
UFJIXQ,3/12/2021,1,OS,Intra Country,1,3/12/2021,4,"1,673",$0.29 ,484.73
UFJIXQ,3/12/2021,1,OS,Intra Country,1,3/12/2021,5,"1,673",$0.20 ,335.11
TNTAVH,5/10/2021,1,RS,Intra Country,3,5/10/2021,8,"3,347",$0.77 ,2580.13
TNTAVH,5/19/2021,0,OS,Intra Country,1,5/10/2021,9,"1,673",$0.29 ,480.78
FEIKJK,5/21/2021,0,RS,Intra Continental,-4,5/21/2021,0,"-2,605",$0.24 ,623.1
YMIBAV,5/21/2021,0,RS,Intra Continental,-3,5/21/2021,0,"-2,653",$0.37 ,974.4
ACVHID,5/21/2021,0,OS,Intra Country,-2,5/21/2021,0,-750,$0.25 ,186.48
GWQQZA,5/21/2021,0,RS,Intra Country,-3,5/21/2021,0,"-1,500",$0.46 ,689.9
GWGMGY,5/21/2021,0,RS,Intra Continental,-3,5/21/2021,0,"-2,476",$0.39 ,973.49
JFXRYI,5/25/2021,0,RS,Intra Country,-2,5/25/2021,0,-474,$1.42 ,670.9
DUERLE,5/25/2021,0,RS,Intra Country,-2,5/25/2021,0,-629,$0.53 ,331.71
WSYCHJ,5/27/2021,0,RS,Intra Continental,-4,5/27/2021,0,"-6,773",$0.11 ,722.06
HNRBWX,5/31/2021,0,RS,Intra Continental,-4,5/31/2021,0,"-6,773",$0.11 ,723.43
XMXHZF,1/29/2021,0,RS,Intra Country,-2,7/27/2020,-51,-740,$0.19 ,142.56
KMXCEQ,1/4/2021,1,OS,Intra Country,1,12/23/2020,16,833,$0.39 ,325.82
KMXCEQ,1/4/2021,1,OS,Intra Country,1,12/23/2020,17,833,$0.52 ,432.25
RPXAHO,1/4/2021,1,RS,Intra Country,3,12/29/2020,10,995,$0.71 ,707.45
QHRXDI,1/4/2021,1,RS,Intra Country,2,12/28/2020,53,"4,605",$0.14 ,651.53
AIDRZS,1/4/2021,1,RS,Intra Country,2,12/28/2020,53,"1,367",$0.31 ,425.7
CJFVWL,1/4/2021,1,RS,Intra Country,2,1/4/2021,4,675,$0.85 ,575.03
YDAYNG,1/5/2021,0,RO,Intra Country,2,12/14/2020,23,"1,111",$0.42 ,462.51
EHDYTV,1/5/2021,1,RO,Intra Country,3,1/5/2021,16,"2,714",$1.11 ,3019.8
JNAJCL,1/5/2021,1,RS,Intra Country,2,1/5/2021,8,"2,267",$0.26 ,593.27
XACIWU,1/5/2021,1,OS,Intra Country,1,12/29/2020,31,823,$0.19 ,159.41
XACIWU,1/5/2021,1,OS,Intra Country,1,12/29/2020,31,562,$0.27 ,150.61
JOHBLR,1/6/2021,1,OS,Intra Country,1,1/5/2021,18,"1,241",$0.14 ,176.4
JOHBLR,1/6/2021,1,OS,Intra Country,1,1/5/2021,16,"1,241",$0.31 ,381.33
QDWPKG,1/7/2021,1,RS,Intra Country,4,1/7/2021,14,"2,060",$0.18 ,371.37
EHDYTV,1/8/2021,1,RO,Intra Country,3,1/5/2021,16,"2,714",$1.11 ,3019.8
LUGJQZ,1/8/2021,1,RS,Intra Country,3,1/8/2021,14,"4,553",$0.12 ,532.86
YMEBAL,1/8/2021,1,RS,Intra Country,3,1/8/2021,6,469,$1.47 ,687.03
EHDYTV,1/8/2021,0,RO,Intra Country,-3,1/8/2021,-13,"-2,714",$1.11 ,3019.8
YPROHL,1/11/2021,1,RS,Intra Country,3,1/11/2021,4,"1,016",$0.68 ,694.52
LLYZEN,1/11/2021,1,RS,Intra Country,3,1/8/2021,19,"3,830",$0.19 ,727.99
JFGITB,1/11/2021,1,OS,Intra Country,1,12/22/2020,25,569,$0.75 ,424.17
JFGITB,1/11/2021,1,OS,Intra Country,1,12/22/2020,26,507,$3.04 ,1541.01
TMKHGV,1/11/2021,1,RS,Intra Country,2,1/8/2021,14,"1,736",$0.65 ,1127.04
LIZLHS,1/11/2021,1,RS,Intra Country,2,1/8/2021,19,"3,069",$0.06 ,193.45
TNSLMQ,1/12/2021,1,RS,Intra Country,2,1/11/2021,11,"2,124",$0.17 ,363.32
SYCIWD,1/13/2021,1,RS,Intra Country,3,1/5/2021,16,"2,686",$0.48 ,1280.84
YPROHL,1/13/2021,0,RS,Intra Country,2,1/11/2021,4,"1,016", $-   ,0
TJGCZP,1/13/2021,0,OS,Intra Country,1,1/8/2021,20,"1,145",$0.15 ,171.25
BUELZY,1/13/2021,1,RS,Intra Country,1,1/12/2021,3,510,$0.10 ,49.98
DUSOHL,1/13/2021,1,RS,Intra Country,3,12/22/2020,37,"1,811",$0.09 ,163.95
EHDYTV,1/13/2021,0,RO,Intra Country,-3,1/13/2021,-8,"-2,714",$1.11 ,3019.8
EUPVIH,1/14/2021,1,RS,Intra Country,3,1/13/2021,9,"1,042",$0.29 ,305.01
ZSJNSU,1/14/2021,1,RS,Intra Country,3,1/8/2021,20,"1,341",$0.17 ,225.96
BIGQHC,1/14/2021,1,RS,Intra Country,2,1/12/2021,15,"1,731",$0.46 ,788.31
EWFUNQ,1/14/2021,1,RS,Intra Country,3,1/13/2021,9,"1,042",$0.29 ,304.99
WYNEJT,1/15/2021,1,RS,Intra Country,3,1/12/2021,30,"3,047",$0.11 ,337.53
BSNDRT,1/15/2021,1,RS,Intra Country,4,1/14/2021,7,"2,060",$0.22 ,447.51
FNFUTK,1/15/2021,1,RS,Intra Country,2,1/14/2021,42,"2,156",$0.09 ,193.45
LLYZEN,1/18/2021,0,RS,Intra Country,2,1/8/2021,19,"3,830", $-   ,0
KDXMTI,1/18/2021,1,RS,Intra Country,2,1/15/2021,26,"1,540",$0.09 ,145.77
IDRXAJ,1/18/2021,1,RS,Intra Country,2,1/18/2021,4,737,$0.24 ,173.84
IGMSQZ,1/18/2021,1,OS,Intra Country,1,1/18/2021,32,695,$0.39 ,271.14
IGMSQZ,1/18/2021,1,OS,Intra Country,1,1/18/2021,33,697,$0.47 ,329.94
AIDRZS,1/18/2021,0,RS,Intra Country,-2,1/18/2021,-32,"-1,367",$0.31 ,425.7
UEXVXN,1/20/2021,1,RS,Intra Country,2,1/19/2021,24,"1,202",$0.65 ,778.87
WYWKQY,1/20/2021,1,RS,Intra Country,2,1/20/2021,22,576,$0.26 ,150.32
SUPXMZ,1/20/2021,1,RS,Intra Country,3,1/19/2021,10,761,$0.38 ,289.51
LSGJMP,1/21/2021,0,RS,Intra Country,2,1/14/2021,35,"1,590",$0.04 ,62.78
ZTIMQE,1/21/2021,1,RS,Intra Country,3,1/21/2021,10,"1,979",$0.49 ,968.63
SJNKWP,1/22/2021,0,OM,Intra Country,2,1/20/2021,5,"2,123",$0.07 ,138.66
ZWUSBB,1/22/2021,1,RO,Intra Country,4,1/21/2021,21,"2,698",$0.48 ,1300.28
TMNHLU,1/25/2021,1,RS,Intra Country,3,1/22/2021,20,"2,215",$0.56 ,1232.6
HUALGI,1/25/2021,1,OS,Intra Country,1,1/15/2021,15,"1,368",$0.55 ,753.94
HUALGI,1/25/2021,1,OS,Intra Country,1,1/15/2021,14,"1,068",$0.65 ,694.45
BVWUIZ,1/25/2021,1,RS,Intra Country,3,1/22/2021,5,"1,945",$0.22 ,420.01
BJOJSN,1/25/2021,1,RS,Intra Country,2,1/25/2021,4,"1,576",$0.43 ,674.95
EGDPJA,1/25/2021,1,RS,Intra Country,2,1/22/2021,5,"3,830",$0.31 ,1189.4
YMNXGR,1/25/2021,1,RS,Intra Country,2,1/22/2021,5,"3,830",$0.31 ,1189.4
JXXYIE,1/25/2021,1,OS,Intra Country,1,1/25/2021,3,630,$0.73 ,460.44
YLZHZU,1/25/2021,1,OS,Intra Country,1,1/25/2021,4,"1,068",$0.38 ,410.38
YLZHZU,1/25/2021,1,OS,Intra Country,1,1/25/2021,5,"1,368",$0.30 ,408.88
EUQLUO,1/25/2021,1,OS,Intra Country,1,1/25/2021,4,622,$0.62 ,388.89
GSDAUH,1/26/2021,1,RS,Intra Country,1,1/25/2021,9,567,$0.47 ,267.15
WIAFHT,1/26/2021,1,RS,Intra Country,1,1/25/2021,9,567,$0.47 ,267.15
ALKNQB,1/26/2021,1,RS,Intra Country,2,1/26/2021,58,"3,696",$0.36 ,1333.55
CCDVRR,1/27/2021,1,RS,Intra Country,2,1/26/2021,57,"4,501",$0.18 ,806.91
IQRYXV,1/27/2021,1,RS,Intra Country,2,1/26/2021,58,902,$0.28 ,248.06
EUPKDV,1/27/2021,1,RS,Intra Country,2,1/26/2021,58,902,$0.28 ,248.06
ZQASGE,1/27/2021,1,RS,Intra Country,2,1/26/2021,57,"1,848",$0.37 ,676.69
BUWJQN,1/27/2021,1,RS,Intra Country,2,1/26/2021,57,"4,501",$0.18 ,806.91
EFWMSQ,1/27/2021,1,RS,Intra Country,2,1/26/2021,61,"4,831",$0.20 ,985.27
GKLJUB,1/27/2021,1,RS,Intra Country,2,1/26/2021,61,576,$0.74 ,424.72
DCHCJA,1/28/2021,1,OM,Intra Country,2,1/27/2021,4,"1,796",$0.19 ,337.78
ENEVPG,1/28/2021,1,OM,Intra Country,2,1/27/2021,4,"1,796",$0.19 ,337.78
EOAOWN,1/28/2021,1,OS,Intra Country,1,1/27/2021,16,"1,030",$0.24 ,248.61
QIKJLW,1/28/2021,1,OS,Intra Country,1,12/28/2020,53,"1,043",$0.30 ,314.79
QIKJLW,1/28/2021,1,OS,Intra Country,1,12/28/2020,54,768,$0.50 ,384.1
CHAXMA,1/28/2021,1,RS,Intra Country,2,1/26/2021,61,"1,176",$0.31 ,368.85
IJNVGQ,1/28/2021,1,RS,Intra Country,3,1/28/2021,20,"3,947",$0.28 ,1106.12
DBJZDZ,1/28/2021,1,OS,Intra Country,1,1/28/2021,30,334,$0.98 ,326.73
DBJZDZ,1/28/2021,1,OS,Intra Country,1,1/28/2021,29,334,$0.92 ,307.21
HQXLGD,1/28/2021,1,OS,Intra Country,1,1/28/2021,1,630,$0.71 ,449.52
FDHYIO,1/29/2021,1,OM,Intra Country,3,1/28/2021,29,"4,766",$0.33 ,1589.62
MJQVNM,1/29/2021,1,RS,Intra Country,2,1/29/2021,7,806,$0.80 ,646.5
GSHBIP,1/29/2021,1,OS,Intra Country,1,1/29/2021,5,"1,630",$0.16 ,261.28
WHSLPU,1/29/2021,1,OS,Intra Country,1,1/29/2021,6,515,$0.30 ,152.49
MFSBOL,2/1/2021,1,RS,Intra Country,2,1/26/2021,57,"2,380",$0.24 ,567.78
AKJXJO,2/1/2021,1,RS,Intra Country,2,2/1/2021,10,"1,554",$0.55 ,859.64
WKLXAX,2/1/2021,1,RS,Intra Country,2,1/25/2021,22,999,$0.22 ,221.86
RJSKRI,2/1/2021,1,OS,Intra Country,1,2/1/2021,54,"2,063",$0.18 ,378.96
ALTLTU,2/1/2021,1,OS,Intra Country,1,1/26/2021,59,903,$0.61 ,552.98
FEMVRW,2/2/2021,1,RS,Intra Country,3,1/29/2021,6,"1,016",$0.44 ,445.32
HEMQHU,2/2/2021,1,RS,Intra Country,3,1/29/2021,6,"1,016",$0.68 ,686.46
XGQJMC,2/2/2021,1,OS,Intra Country,1,2/2/2021,10,"1,062",$0.15 ,161.02
XGQJMC,2/2/2021,1,OS,Intra Country,1,2/2/2021,9,"1,016",$0.26 ,261.34
ERDXCN,2/3/2021,1,OS,Intra Country,1,1/26/2021,60,229,$0.63 ,144.02
ERDXCN,2/3/2021,1,OS,Intra Country,1,1/26/2021,59,214,$0.76 ,162.38
MDSOCF,2/3/2021,1,RS,Intra Country,2,1/29/2021,14,"2,084",$1.35 ,2803.2
ZVKWHT,2/3/2021,1,RS,Intra Country,2,2/3/2021,30,"3,164",$0.28 ,889.2
IDEUIM,2/3/2021,1,RS,Intra Country,2,2/3/2021,30,"2,947",$0.22 ,650.11
COHQKS,2/3/2021,1,OS,Intra Country,1,2/3/2021,30,971,$0.26 ,250.2
COHQKS,2/3/2021,1,OS,Intra Country,1,2/3/2021,31,956,$0.23 ,224.12
IDPWMO,2/3/2021,1,RS,Intra Country,2,2/3/2021,30,"2,398",$0.24 ,587.39
AFWSOQ,2/3/2021,1,RS,Intra Country,2,1/27/2021,9,"1,088",$1.09 ,1184.54
WHSLPU,2/4/2021,1,OS,Intra Country,1,1/29/2021,6,"1,487",$0.18 ,262.7
HEMQHU,2/4/2021,0,RS,Intra Country,3,1/29/2021,6,"1,016", $-   ,0
UGVAIN,2/4/2021,0,RS,Intra Country,2,2/3/2021,22,518,$0.45 ,232.21
DONDZF,2/4/2021,1,RS,Intra Country,2,2/2/2021,15,860,$0.68 ,585.76
VRTXSL,2/4/2021,1,RS,Intra Country,2,2/2/2021,15,860,$0.68 ,585.76
WHSLPU,2/5/2021,1,OS,Intra Country,1,1/29/2021,6,"1,487",$0.19 ,281.4
