Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
UJYYCI,5/26/2021,1,OS,Intra Country,1,5/26/2021,9,718,$0.53 ,383.29
UJYYCI,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,718,$0.24 ,175.12
DTBEQC,5/26/2021,1,OS,Intra Country,1,5/25/2021,10,611,$0.26 ,161.09
WFRHTY,5/26/2021,1,OS,Intra Country,1,5/26/2021,11,621,$0.26 ,161.09
DTLWSN,5/26/2021,1,RS,Intra Country,2,5/26/2021,145,"2,625",$0.18 ,471.16
YRNYOD,5/26/2021,1,RS,Intra Country,3,5/26/2021,30,"1,272",$0.34 ,426.6
QNCYLG,5/26/2021,1,RS,Intra Country,2,5/19/2021,22,"3,258",$0.16 ,529.4
TLTRDA,5/26/2021,1,OS,Intra Country,1,5/18/2021,37,"1,326",$0.18 ,239.47
ZHNPCQ,5/26/2021,1,RS,Intra Country,3,5/26/2021,9,"1,242",$0.26 ,322
VSADZG,5/26/2021,1,OS,Intra Country,1,5/26/2021,8,"2,584",$0.11 ,289.8
MMDIQV,5/26/2021,1,OS,Intra Country,1,5/26/2021,9,"1,201",$0.06 ,74.54
MMDIQV,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,"1,201",$0.07 ,86.92
KNPUTJ,5/27/2021,0,OS,Intra Country,1,5/20/2021,15,"1,764",$0.15 ,260.84
VKIJRM,5/27/2021,1,RS,Intra Country,4,5/26/2021,29,"3,049",$0.15 ,459.54
UIOGUK,5/27/2021,1,OS,Intra Country,1,5/25/2021,19,666,$0.28 ,188.44
ZEPLME,5/27/2021,1,OS,Intra Country,1,3/22/2021,79,795,$0.19 ,147.33
SQIOSM,5/27/2021,1,RS,Intra Country,3,5/25/2021,17,891,$0.52 ,462.96
UUJTRV,5/27/2021,1,RS,Intra Country,3,5/25/2021,17,518,$0.69 ,359.65
QAMLHQ,5/27/2021,1,RS,Intra Country,3,5/26/2021,9,"3,687",$0.95 ,3489.59
APIABK,5/27/2021,1,RS,Intra Country,2,5/27/2021,7,"1,105",$0.34 ,378.24
BQEDZJ,5/27/2021,1,RS,Intra Country,2,5/27/2021,7,"1,105",$0.34 ,378.24
HKMEVG,5/27/2021,1,RS,Intra Country,2,5/26/2021,9,"1,242",$0.37 ,464.51
MAVILF,5/27/2021,1,RS,Intra Country,4,5/26/2021,20,"4,190",$0.25 ,1041.51
KKBAEF,5/27/2021,1,OS,Intra Country,1,5/27/2021,15,682,$0.18 ,119.34
KKBAEF,5/27/2021,1,OS,Intra Country,1,5/27/2021,17,666,$0.28 ,188.44
DQHJMI,5/28/2021,0,OS,Intra Country,1,3/16/2021,82,"1,732",$0.08 ,145.2
BVRWJW,5/28/2021,1,RS,Intra Country,3,5/28/2021,41,"2,109",$0.18 ,370.67
YADVGL,5/28/2021,1,RS,Intra Country,3,5/27/2021,20,"1,811",$0.18 ,323.98
HUWKJX,5/28/2021,1,RS,Intra Country,3,5/27/2021,20,"1,811",$0.18 ,323.98
DUZJCD,5/28/2021,1,RS,Intra Country,2,5/28/2021,7,"3,687",$0.16 ,601.76
CQRHLL,5/28/2021,1,OS,Intra Country,1,5/28/2021,7,647,$0.23 ,145.63
RRIRII,5/28/2021,1,RS,Intra Country,2,5/28/2021,7,"1,464",$0.33 ,486.36
JJYWWR,5/28/2021,1,OS,Intra Country,1,5/28/2021,6,405,$0.35 ,142.17
XWCNFB,5/28/2021,1,OS,Intra Country,1,5/27/2021,43,590,$0.73 ,427.85
XWCNFB,5/28/2021,1,OS,Intra Country,1,5/27/2021,42,809,$0.33 ,268.6
DDGMSR,5/28/2021,1,RS,Intra Country,3,5/28/2021,83,"1,310",$0.30 ,396.27
BDJNMK,5/28/2021,1,OS,Intra Country,1,5/20/2021,20,"1,673",$0.20 ,330.59
BDJNMK,5/28/2021,1,OS,Intra Country,1,5/20/2021,22,681,$0.33 ,222.59
RWBFJY,5/28/2021,1,RS,Intra Country,3,5/28/2021,14,"3,932",$0.20 ,768.92
RWBFJY,5/28/2021,0,RS,Intra Country,3,5/28/2021,14,"3,932",$0.14 ,533.26
KTKGEU,5/28/2021,1,RS,Intra Country,2,5/28/2021,25,"4,784",$0.18 ,857.3
DLTHCW,5/28/2021,1,RS,Intra Country,3,5/28/2021,76,"3,775",$0.36 ,1355
CVFCTE,5/28/2021,1,RS,Intra Country,3,5/28/2021,14,518,$0.69 ,359.65
FYDNSL,5/28/2021,1,RS,Intra Country,2,5/24/2021,17,"1,747",$1.08 ,1881.71
GDZQDJ,5/28/2021,1,RS,Intra Country,3,5/4/2021,38,"2,775",$0.32 ,877.71
THWEIT,5/28/2021,1,RS,Intra Country,2,4/22/2021,59,"5,123",$0.74 ,3776.77
GQQOUD,5/28/2021,1,OS,Intra Country,1,5/28/2021,16,439,$0.50 ,221.29
XCTYCE,5/28/2021,1,OS,Intra Country,1,5/28/2021,14,526,$0.30 ,155.52
MGPBCR,5/28/2021,1,RS,Intra Country,2,4/23/2021,54,"1,165",$0.62 ,727.54
LUXRQH,5/28/2021,1,RS,Intra Country,3,5/28/2021,112,"2,442",$0.24 ,580.55
MLLFAI,5/29/2021,1,RS,Inter Continental,10,4/20/2021,40,"16,475",$0.43 ,7163.75
GHNXFP,5/29/2021,1,RS,Intra Country,3,5/29/2021,111,"2,442",$0.24 ,580.55
TQKVAS,5/29/2021,1,RS,Intra Country,3,5/29/2021,111,"3,025",$0.14 ,420.76
ZQMCYJ,5/29/2021,1,RS,Intra Country,3,5/29/2021,111,"2,469",$0.22 ,544.07
GZACDM,5/29/2021,1,RS,Intra Country,3,5/29/2021,111,"2,442",$0.24 ,580.55
RTBNUM,5/31/2021,1,RS,Intra Country,3,5/31/2021,109,"3,025",$0.23 ,703.05
YVHRCY,3/5/2021,0,OS,Intra Continental,-1,3/17/2020,0,"-1,826",$0.29 ,524.45
CHCIDP,3/5/2021,0,OS,Intra Country,-1,3/16/2020,0,-241,$0.22 ,52.66
VPKYOK,3/5/2021,0,OS,Intra Continental,-1,3/17/2020,0,"-1,826",$0.02 ,41.05
ZHRLPT,4/7/2021,0,OS,Intra Continental,-1,3/17/2020,0,"-1,644",$0.35 ,580.37
IUSBDH,4/7/2021,0,OS,Intra Country,-1,3/16/2020,0,-555,$0.10 ,53.22
BQOSGM,4/8/2021,0,OS,Intra Country,-1,3/17/2020,0,"-1,540",$0.37 ,577.11
LMLLGW,4/9/2021,0,OS,Intra Country,-1,4/4/2020,0,-572,$0.17 ,98.34
VFBYFX,4/12/2021,0,OS,Intra Country,-1,3/31/2021,-1,-527,$0.78 ,411.3
QCUCVA,1/1/2021,0,OS,Intra Country,-1,1/9/2020,-15,-236,$0.11 ,26.32
RZXZNW,1/29/2021,1,OS,Intra Continental,1,1/27/2021,5,832,$0.53 ,439.2
RZGSSH,1/29/2021,1,OS,Intra Continental,1,1/27/2021,6,"1,044",$0.11 ,117.62
RZGSSH,1/29/2021,1,OS,Intra Country,1,1/27/2021,6,268,$0.91 ,243.14
YHVFRW,2/26/2021,0,RS,Intra Country,-2,2/24/2020,-9,-518,$0.07 ,37.58
DFVSUI,3/25/2021,1,OS,Intra Country,1,3/24/2021,1,205,$0.80 ,164.17
LLAGAU,3/26/2021,1,RS,Intra Country,1,3/25/2021,15,579,$0.18 ,106.18
EJXZBV,3/26/2021,1,RS,Intra Country,1,3/25/2021,15,579,$0.18 ,106.18
BDAOJY,4/30/2021,1,RS,Intra Continental,1,4/29/2021,15,638,$0.09 ,58.71
SFXXRH,5/6/2021,1,RS,Intra Continental,2,5/4/2021,13,"1,360",$0.39 ,529.51
QAXESO,5/7/2021,1,OS,Intra Continental,1,5/6/2021,12,775,$0.22 ,168.48
SFXXRH,5/13/2021,0,OS,Intra Continental,1,5/4/2021,14,680, $-   ,0
SFXXRH,5/13/2021,1,OS,Intra Continental,1,5/4/2021,13,967,$0.29 ,282.06
CGTHZS,5/13/2021,1,RS,Intra Country,2,5/13/2021,13,518,$0.65 ,335.8
XPSMVN,5/17/2021,1,RS,Intra Country,2,5/14/2021,13,631,$0.46 ,287.88
HVPOHL,5/19/2021,1,RS,Intra Country,1,5/19/2021,2,251,$3.37 ,846.36
XPSMVN,5/20/2021,0,RS,Intra Country,-2,5/14/2021,-13,-631,$0.06 ,36.61
DSBGPP,5/20/2021,1,RS,Intra Country,2,5/19/2021,8,631,$0.56 ,356.31
EFTSUV,5/20/2021,1,OS,Intra Country,1,5/20/2021,5,268,$0.30 ,79.13
UYMCBV,5/31/2021,1,RS,Intra Country,2,5/19/2021,8,631,$0.53 ,332.05
ULDPHJ,1/7/2021,0,RS,Intra Continental,-4,2/27/2020,-48,-461,$0.54 ,250.75
TGVOLE,2/27/2021,0,RS,Intra Continental,-4,2/27/2020,-48,-461,$0.53 ,246.34
QINKFM,3/11/2021,1,RS,Intra Country,7,3/11/2021,9,637,$0.42 ,266.77
QINKFM,3/11/2021,1,RS,Intra Continental,5,3/11/2021,10,"1,893",$0.18 ,346.87
YQCNNI,4/21/2021,1,RS,Intra Country,2,4/21/2021,6,592,$0.78 ,463.6
YQCNNI,4/28/2021,0,OS,Intra Country,1,4/21/2021,8,296,$0.51 ,149.92
ZKWQBQ,1/4/2021,0,RS,Intra Country,-3,12/17/2020,-20,-805,$0.26 ,212.25
RUERSU,1/13/2021,0,OS,Intra Continental,-1,2/18/2020,-30,-909,$0.17 ,150.47
FLWABI,1/20/2021,0,OS,Intra Continental,-1,1/22/2020,-44,-304,$0.41 ,123.66
ZMCNBU,1/21/2021,0,OS,Intra Continental,-1,1/22/2020,-43,-304,$0.13 ,39.55
AAXZOR,1/21/2021,0,OS,Intra Continental,-1,1/22/2020,-44,-438,$0.63 ,276.16
DMCLXU,1/25/2021,0,OS,Intra Continental,-1,1/28/2020,-44,-228,$0.13 ,30.27
WNQMMW,1/28/2021,0,RS,Intra Continental,-3,1/27/2020,-56,-634,$0.50 ,314.08
AJJBOE,1/29/2021,0,RS,Intra Continental,-2,1/30/2020,-28,-461,$0.16 ,72.8
DMCLXU,1/29/2021,1,OS,Intra Continental,1,1/28/2020,44,228,$0.13 ,30.27
DMCLXU,1/29/2021,0,OS,Intra Continental,-1,1/28/2020,-44,-228,$0.13 ,30.27
FLWABI,1/29/2021,1,OS,Intra Continental,1,1/22/2020,44,304,$0.41 ,123.66
FLWABI,1/29/2021,0,OS,Intra Continental,-1,1/22/2020,-44,-304,$0.41 ,123.66
XYBJKS,2/3/2021,0,RS,Intra Continental,-2,2/3/2020,-37,-297,$1.85 ,550.24
ESICRI,2/3/2021,0,RS,Intra Continental,-2,2/3/2020,-50,-829,$0.34 ,281.51
QAAJXB,2/5/2021,0,RS,Intra Continental,-2,2/3/2020,-50,-829,$0.34 ,280.62
RAKGBE,2/18/2021,0,RS,Intra Continental,-2,1/17/2020,-48,-607,$0.12 ,71.17
XMUJRM,2/18/2021,0,RS,Intra Continental,-3,1/27/2020,-56,-634,$0.51 ,320.6
GQWLRW,2/18/2021,0,OS,Intra Continental,-1,1/27/2020,-44,-317,$0.08 ,26.37
WFDUPI,2/18/2021,0,RS,Intra Continental,-2,1/27/2020,-44,-461,$0.16 ,74.4
RUVARB,3/3/2021,0,RS,Intra Continental,-2,3/4/2020,-56,-461,$0.83 ,383.98
UMHPEM,3/4/2021,0,RS,Intra Continental,-3,2/27/2020,-20,-461,$0.51 ,233.58
CZVNOL,3/4/2021,0,OS,Intra Continental,-1,3/4/2020,-19,"-1,074",$0.19 ,204.99
UHDFNJ,3/15/2021,1,RS,Intra Continental,3,3/4/2021,18,"1,914",$0.35 ,678.03
XRXFMS,3/15/2021,1,RS,Intra Continental,4,3/4/2021,19,"1,991",$0.17 ,344.99
VXPXTQ,3/15/2021,1,OS,Intra Continental,1,3/4/2021,20,"1,308",$0.32 ,421.12
ZZTUWC,3/15/2021,1,OS,Intra Continental,1,3/4/2021,18,"1,154",$0.18 ,203.93
VXPXTQ,3/18/2021,0,OS,Intra Continental,1,3/4/2021,20,"1,126", $-   ,0
KZANFW,4/29/2021,1,RS,Intra Continental,3,4/28/2021,12,980,$0.38 ,371.65
MCPXUF,4/29/2021,1,RS,Intra Continental,3,4/28/2021,12,980,$0.38 ,371.65
XKGILU,5/13/2021,1,RS,Intra Country,2,5/10/2021,38,670,$0.41 ,271.73
IJYRNA,5/13/2021,1,OS,Intra Country,1,5/10/2021,37,332,$0.61 ,201.37
XLARHA,5/13/2021,1,OS,Intra Country,1,5/10/2021,38,317,$0.25 ,80.3
JSYDAD,5/14/2021,1,RS,Intra Country,3,5/13/2021,34,805,$0.71 ,574.9
AWYVDQ,5/17/2021,1,RS,Intra Country,3,5/13/2021,34,805,$0.56 ,450.57
DFMPZA,2/5/2021,0,RS,Intra Continental,-2,2/3/2020,-45,-496,$0.58 ,288.38
IAKXRQ,2/15/2021,0,RS,Intra Continental,-2,1/28/2020,-43,-579,$0.22 ,126.47
SCVCWA,2/15/2021,0,OS,Intra Continental,-1,1/29/2020,-36,-605,$0.10 ,62.83
KFVXFQ,2/17/2021,0,RS,Intra Continental,-2,1/9/2020,-56,"-1,225",$0.04 ,50.26
XQHEGO,2/18/2021,0,RS,Intra Continental,-2,1/27/2020,-38,"-1,235",$0.06 ,70.04
LXCUJB,2/18/2021,0,RS,Intra Continental,-1,1/23/2020,-43,-391,$0.10 ,39.95
AAVLLP,2/23/2021,0,RS,Intra Country,-2,2/24/2020,-38,-457,$0.86 ,394.39
ZFFFAF,3/2/2021,0,RS,Intra Continental,-3,3/6/2020,-5,"-2,413",$0.34 ,819.08
MTIUYW,3/3/2021,0,RS,Intra Country,-2,2/27/2020,-35,"-1,032",$0.56 ,577.22
USWYBW,3/4/2021,0,RS,Intra Continental,-2,2/27/2020,-13,"-1,249",$0.06 ,80.88
ZIQSDQ,5/13/2021,1,RS,Intra Country,2,5/11/2021,26,466,$1.00 ,468.13
KOTBFT,1/7/2021,0,RS,Intra Country,-2,1/10/2020,-19,"-1,350",$0.07 ,98.72
TXZYKV,1/9/2021,0,RS,Intra Country,-2,1/10/2020,-17,-712,$0.10 ,71.96
CXXMBH,1/27/2021,0,OS,Intra Continental,-1,1/27/2020,-9,-303,$0.13 ,39.51
KOTBFT,1/30/2021,1,RS,Intra Country,2,1/10/2020,19,"1,350",$0.07 ,94.97
KOTBFT,1/30/2021,0,RS,Intra Country,-2,1/10/2020,-19,"-1,350",$0.07 ,94.97
TXZYKV,2/1/2021,1,RS,Intra Country,2,1/10/2020,17,712,$0.10 ,71.1
TXZYKV,2/1/2021,0,RS,Intra Country,-2,1/10/2020,-17,-712,$0.10 ,71.1
RRTAFM,2/3/2021,0,RS,Intra Continental,-3,2/3/2020,-45,"-1,048",$0.04 ,46.67
BTMDDL,2/18/2021,0,OS,Intra Continental,-1,1/27/2020,-45,-630,$0.30 ,190.55
SZLRKP,2/25/2021,0,OM,Intra Continental,-3,2/24/2020,-24,"-1,484",$0.06 ,87.39
UNGZYG,3/3/2021,0,RS,Intra Country,-3,2/27/2020,-21,-512,$0.54 ,275.31
UNGZYG,3/31/2021,0,OS,Intra Continental,-1,2/27/2020,-21,-524,$0.04 ,22.2
UB9L9G,2/20/2021,1,OS,Intra Country,1,2/20/2021,2,147,$0.39 ,58.16
MN7OOH,2/27/2021,1,OS,Intra Country,1,2/27/2021,1,316,$0.18 ,55.55
M222EC,3/13/2021,1,OS,Intra Country,1,3/13/2021,4,533,$0.14 ,73.1
M222EC,3/13/2021,1,OS,Intra Country,1,3/13/2021,4,533,$0.14 ,72.1
L69CJI,3/29/2021,1,OS,Intra Country,1,3/27/2021,1,672,$0.10 ,65.1
W4UWMJ,2/2/2021,1,RS,Intra Country,3,2/2/2021,1,"1,841",$0.11 ,210.99
SOVLLS,2/2/2021,1,RS,Intra Country,2,2/1/2021,0,769,$0.16 ,124.6
NNGDF9,2/4/2021,1,RS,Intra Country,2,2/4/2021,1,631,$0.20 ,125.81
QMAGP8,2/5/2021,1,RS,Intra Country,4,2/5/2021,3,"1,841",$0.11 ,209.18
LEJVOR,2/8/2021,1,OS,Intra Country,1,2/8/2021,0,471,$0.15 ,69.7
LEJVOR,2/8/2021,1,OS,Intra Country,1,2/8/2021,1,471,$0.14 ,64.41
NONGDS,2/11/2021,1,OS,Intra Country,1,1/29/2021,0,385,$0.17 ,63.85
NONGDS,2/11/2021,1,OS,Intra Country,1,1/29/2021,1,385,$0.16 ,61.24
UAZ98M,2/25/2021,1,RS,Intra Country,1,2/25/2021,1,942,$0.15 ,142.48
MBK3CM,3/1/2021,1,OS,Intra Country,1,2/27/2021,0,707,$0.13 ,93.27
NONGDS,3/3/2021,1,OS,Intra Country,1,2/26/2021,1,144,$0.39 ,55.56
NONGDS,3/4/2021,1,OS,Intra Country,1,2/24/2021,2,471,$0.14 ,63.65
NONGDS,3/4/2021,1,OS,Intra Country,1,2/24/2021,4,471,$0.14 ,64.58
NONGDS,3/4/2021,1,OS,Intra Country,1,2/24/2021,3,577,$0.04 ,20.58
NONGDS,3/4/2021,1,OS,Intra Country,1,2/24/2021,3,577,$0.28 ,159.91
NONGDS,3/4/2021,0,OS,Intra Country,-1,2/24/2021,-3,-577,$0.06 ,35.75
SBL94L,3/6/2021,1,OS,Intra Country,1,3/6/2021,1,383,$0.13 ,49.86
SBL94L,3/6/2021,1,OS,Intra Country,1,3/6/2021,2,383,$0.15 ,56.91
NONGDS,3/6/2021,1,OS,Intra Country,1,2/24/2021,2,577,$0.13 ,73.52
T559BR,3/6/2021,1,OS,Intra Country,1,3/6/2021,0,471,$0.41 ,192.17
T559BR,3/6/2021,1,OS,Intra Country,1,3/6/2021,1,471,$0.13 ,63.41
O6R62C,3/23/2021,1,OS,Intra Country,1,3/23/2021,1,147,$0.32 ,46.71
UN5CCL,3/30/2021,1,OS,Intra Country,1,3/30/2021,2,585,$0.08 ,49.22
UPKCGG,3/30/2021,1,OS,Intra Country,1,3/30/2021,2,585,$0.10 ,59.29
LRJK5Q,4/1/2021,1,OS,Intra Country,1,4/1/2021,0,585,$0.09 ,55.36
NONGDS,4/2/2021,1,OS,Intra Country,1,2/27/2021,0,144,$0.29 ,42.02
NONGDS,4/2/2021,1,OS,Intra Country,2,2/26/2021,0,144,$0.32 ,46.06
NUQ4ZJ,4/6/2021,1,OS,Intra Country,1,4/6/2021,1,276,$0.16 ,44.57
UPKCGG,4/6/2021,0,OS,Intra Country,-1,3/30/2021,-2,-585,$0.10 ,57.87
NONGDS,4/14/2021,0,OS,Intra Country,-2,2/26/2021,0,-144,$0.28 ,40.31
QMAGP8,4/15/2021,0,RS,Intra Country,-4,2/5/2021,-3,"-1,841",$0.04 ,75.96
ODQZ3E,1/7/2021,1,OS,Intra Country,1,1/7/2021,0,425,$0.11 ,46.11
RCS6J7,1/8/2021,1,OS,Intra Country,1,1/8/2021,2,"1,080",$0.07 ,79.69
RCS6J7,1/8/2021,1,OS,Intra Country,1,1/8/2021,2,"1,080",$0.06 ,65.64
LN2MQB,1/20/2021,1,RS,Intra Country,1,1/20/2021,3,769,$0.16 ,121.87
LN2UQ2,1/20/2021,1,RS,Intra Country,1,1/20/2021,3,769,$0.16 ,121.87
S38D6R,2/24/2021,1,RS,Intra Country,3,2/24/2021,5,630,$0.26 ,165.39
L6NKBL,3/8/2021,1,RS,Intra Country,3,3/8/2021,2,630,$0.27 ,167.6
GENTGR,5/6/2021,1,OS,Intra Country,1,5/6/2021,14,595,$0.17 ,102.7
SOL5DZ,5/6/2021,1,OS,Intra Country,1,5/6/2021,15,595,$0.16 ,98.11
SPEEOU,5/6/2021,1,OS,Intra Country,1,5/6/2021,15,595,$0.16 ,98.11
SPSCYL,5/6/2021,1,OS,Intra Country,1,5/6/2021,15,595,$0.16 ,98.11
VMXBOU,5/7/2021,1,RS,Intra Country,2,5/7/2021,13,672,$0.16 ,105.21
L4D2ZD,5/13/2021,1,RS,Intra Country,2,5/13/2021,7,672,$0.36 ,243.86
L5CNJI,5/13/2021,1,RS,Intra Country,2,5/13/2021,7,442,$0.34 ,151.65
RNQBW3,3/30/2021,1,RS,Inter Continental,4,3/30/2021,35,"9,370",$0.61 ,5696.27
RG4JFE,3/30/2021,1,RS,Inter Continental,4,3/30/2021,35,"9,370",$0.61 ,5696.27
UDLXOK,3/30/2021,1,OS,Intra Country,1,3/30/2021,17,595,$0.20 ,118.46
NONGDS,3/30/2021,1,OS,Intra Country,1,3/30/2021,17,595,$0.02 ,11.74
UE5D8L,3/31/2021,1,OS,Intra Country,1,3/31/2021,16,595,$0.22 ,128.32
RNQBW3,4/16/2021,0,RS,Inter Continental,4,4/16/2021,18,"9,370", $-   ,0
RG4JFE,4/16/2021,0,RS,Inter Continental,4,4/16/2021,18,"9,370", $-   ,0
QMC4RY,5/10/2021,1,OS,Intra Country,1,5/10/2021,17,595,$0.13 ,74.96
QR337M,5/10/2021,1,OS,Intra Country,1,5/10/2021,18,628,$0.25 ,154.93
NTC42V,5/14/2021,1,RS,Intra Country,2,5/14/2021,3,"1,013",$0.39 ,391.86
TRZGOX,3/3/2021,0,RS,Intra Continental,-2,3/2/2020,-30,-848,$0.66 ,561.92
VUHQYP,1/15/2021,0,RS,Inter Continental,-4,2/18/2020,-26,"-8,207",$0.11 ,940.19
JAVTAQ,1/15/2021,0,RS,Inter Continental,-4,2/18/2020,-26,"-8,207",$0.11 ,940.19
DOXMJG,2/26/2021,1,RS,Intra Country,2,2/26/2021,4,"1,240",$0.11 ,141.24
MLWZLM,3/18/2021,1,OS,Intra Country,1,3/18/2021,2,"1,006",$0.14 ,142.43
MLWZLM,3/18/2021,1,OS,Intra Country,1,3/18/2021,4,"1,006",$0.06 ,61.22
LCYCWS,4/15/2021,1,OS,Intra Country,1,4/15/2021,2,"1,006",$0.11 ,109.89
LCYCWS,4/15/2021,1,OS,Intra Country,1,4/15/2021,9,"1,006",$0.06 ,62.49
LHCYDZ,4/15/2021,1,OS,Intra Country,1,4/15/2021,2,"1,006",$0.11 ,109.89
LHCYDZ,4/15/2021,1,OS,Intra Country,1,4/15/2021,9,"1,006",$0.06 ,62.49
GKWTCD,4/21/2021,1,RS,Intra Country,4,4/21/2021,5,900,$0.13 ,115.89
URCWPI,5/17/2021,1,RS,Intra Country,2,5/17/2021,2,900,$0.13 ,115.15
JHQAJO,5/28/2021,1,RS,Intra Country,6,5/28/2021,1,900,$0.13 ,114.55
JJTDPD,2/16/2021,0,RS,Intra Continental,-4,12/19/2019,-61,"-1,763",$0.21 ,370.57
NONGDS,2/23/2021,0,RS,Intra Country,-1,3/25/2020,0,-627,$0.03 ,18.27
NONGDS,2/23/2021,1,RS,Intra Country,1,3/25/2020,0,627,$0.03 ,18.27
FYHWHP,1/14/2021,1,RS,Intra Country,2,1/14/2021,19,341,$0.53 ,180.33
IYPJQF,1/27/2021,1,RS,Intra Country,2,1/27/2021,6,270,$0.99 ,268
DTISNF,1/27/2021,1,OS,Intra Country,1,1/27/2021,7,226,$0.64 ,143.81
QVQVNF,5/13/2021,1,OS,Intra Country,1,5/13/2021,20,183,$0.51 ,92.68
JIFQZK,5/13/2021,1,OS,Intra Country,1,5/13/2021,21,110,$0.92 ,101.11
ZUTKHR,2/25/2021,0,RS,Intra Continental,-2,2/24/2020,-45,-432,$0.78 ,338.09
UXHQSN,3/12/2021,0,RS,Intra Continental,-2,3/4/2020,-43,"-1,349",$0.28 ,383.7
